scenario,horizon_years_ahead,forecast_year,predicted_real_gdp_growth_of_railways
baseline,1,2024-25,11.712932093750041
baseline,2,2025-26,11.73137375050532
baseline,3,2026-27,11.7440354378708
baseline,4,2027-28,11.752728709254633
baseline,5,2028-29,11.75869734243689
baseline,6,2029-30,11.762795291355246
baseline,7,2030-31,11.765608864383552
baseline,8,2031-32,11.767540609591535
baseline,9,2032-33,11.768866908753147
baseline,10,2033-34,11.76977752028661
optimistic,1,2024-25,11.712932093750041
optimistic,2,2025-26,11.752510449095546
optimistic,3,2026-27,11.779684187793464
optimistic,4,2027-28,11.798341154925538
optimistic,5,2028-29,11.811150670260794
optimistic,6,2029-30,11.819945437489714
optimistic,7,2030-31,11.825983755770032
optimistic,8,2031-32,11.830129549138448
optimistic,9,2032-33,11.832975971247336
optimistic,10,2033-34,11.834930270003198
pessimistic,1,2024-25,11.712932093750041
pessimistic,2,2025-26,11.710237051915101
pessimistic,3,2026-27,11.708386687948142
pessimistic,4,2027-28,11.707116263583735
pessimistic,5,2028-29,11.706244014612992
pessimistic,6,2029-30,11.705645145220778
pessimistic,7,2030-31,11.705233972997071
pessimistic,8,2031-32,11.704951670044629
pessimistic,9,2032-33,11.704757846258964
pessimistic,10,2033-34,11.704624770570014
